node1,node2
924,891
901,1004
1718,1068
559,753
668,616
3054,3051
51,481
2032,1980
180,390
970,158
896,922
3167,3290
773,608
2447,2658
760,847
2292,279
2139,1481
185,2641
1672,1390
1923,1406
619,390
3145,2190
1864,1101
1314,1657
1790,1928
495,659
1511,1168
774,1236
2272,2777
186,847
3062,3061
907,146
3191,2669
106,184
1637,1638
910,745
455,22
514,383
2231,2231
2774,31
3066,3067
2032,2033
3101,3100
639,608
713,381
93,800
182,37
1194,1680
668,22
1489,1863
397,293
2665,2242
2505,2694
2009,1626
694,698
366,699
965,612
2673,3141
581,276
255,654
1650,179
1214,2006
655,537
3146,3151
59,18
1198,2278
122,263
1273,2053
502,664
2973,2973
569,612
2542,2541
1169,471
1713,1223
829,556
1042,1037
778,396
1748,1209
2048,2049
2400,725
3271,2934
348,643
2062,2126
999,184
1559,1686
2391,2219
2466,2868
36,916
800,447
982,348
549,646
1286,2657
2608,2607
1122,1690
1987,1988
144,281
611,644
1078,1599
28,999
287,846
694,390
2082,31
358,359
704,855
445,374
2210,3085
1436,1435
146,416
1216,1519
1998,88
327,1701
434,387
1508,1687
628,1461
3200,2335
1927,2022
2962,2962
712,847
3189,3188
2247,3189
1099,1768
816,847
444,373
152,566
213,293
2284,2302
482,390
2316,1004
1926,2080
2992,2235
1331,1517
625,40
1597,1004
861,2455
51,439
651,928
700,390
377,673
1469,2278
502,1004
1173,1812
566,263
1093,1065
2295,3161
414,390
1224,1626
1414,1368
2072,1878
2075,1925
191,661
179,471
397,652
805,490
1465,1878
2460,3028
1550,1457
1606,1120
1248,1538
2780,2558
601,429
984,847
2984,2985
2470,1516
1205,1848
1356,1638
95,2923
130,1498
1758,1386
2310,2245
2368,2368
2339,378
1979,1374
1747,1630
1439,1015
1434,1436
211,659
278,79
875,788
2642,2601
2596,2339
483,390
1813,2263
2707,2982
2748,2747
2411,2741
297,31
262,272
987,999
3224,2764
1751,2106
432,1420
868,44
2579,354
1189,1657
1544,1168
712,750
706,773
2952,2955
1639,1673
2168,1632
680,439
1982,1437
913,96
1216,1848
673,364
3081,3084
1030,1941
382,113
920,1004
788,847
966,847
3074,3175
525,439
665,685
1236,1015
122,297
1336,1005
3013,2351
1095,1864
684,953
473,822
251,438
3040,2278
2273,2273
2665,3080
1955,1470
1763,1546
244,483
755,502
2032,2049
921,447
2367,2517
376,673
1254,1787
2325,2595
1782,1935
445,439
355,364
762,1001
355,977
651,369
2567,2566
2561,2878
1921,179
2384,2872
1286,1532
1540,1541
1678,21
2689,2688
2686,769
103,272
1353,1348
724,591
2606,2607
1703,2049
1173,2332
1682,1038
2680,2680
107,338
36,661
1119,1119
2617,2614
251,668
1373,1373
2876,2947
686,1876
460,86
2181,1012
2527,3002
1169,1220
2168,1851
55,972
2349,3195
545,286
2356,2261
1259,1820
1253,57
979,731
1721,1919
802,673
1177,1374
996,847
2102,2101
392,24
2173,2174
355,390
2017,2016
1498,2139
902,901
1675,855
2176,1908
1581,1524
453,144
2110,2109
1336,1586
2058,1114
1257,1159
1965,1353
1336,1831
2024,1500
1747,677
381,0
2406,2316
2563,2562
2725,2725
1198,1678
167,291
768,263
1332,2005
550,390
1584,1985
2970,1528
584,110
879,822
609,1019
1855,1920
2002,1045
2139,1043
2024,1013
1181,1637
2437,3286
158,9
893,643
1769,1038
866,643
1321,1646
523,390
428,891
2675,3099
516,69
165,863
572,547
1736,1735
2155,1611
1231,905
2488,2192
818,29
661,643
1431,1416
247,933
3128,2799
202,584
2151,1203
1552,1864
1747,678
1613,1047
1255,2139
1663,1873
133,323
2441,855
155,390
1636,1047
971,362
1398,2019
732,429
1355,1414
130,2361
1290,1349
797,471
2570,344
321,825
2548,2598
679,551
146,40
220,619
303,390
138,486
1304,1473
2227,2844
3178,3177
1555,1556
200,390
2195,2195
48,748
1222,1803
2149,1989
146,822
1189,1583
1596,1595
1828,1634
365,1004
939,940
426,263
1408,429
403,631
2049,2049
2873,2827
1980,1542
1433,2151
1212,862
488,488
805,745
561,268
499,416
2799,339
1684,1683
1317,1094
1010,919
2175,2159
1196,1083
2464,2858
2683,2378
3085,993
3112,2805
412,822
901,276
1651,1823
873,1168
2675,2206
592,685
722,245
70,659
2104,1114
507,541
2254,2519
360,419
514,0
1664,780
915,432
1394,2136
2861,2501
550,364
213,447
1284,1264
216,291
1659,1659
3111,3043
905,266
2451,2910
1489,876
504,510
1320,1646
1010,644
2059,1114
902,276
94,444
1875,1023
632,868
557,897
208,659
91,682
2371,3140
1724,1677
103,364
1650,1383
2859,2622
1212,1937
10,440
2160,1972
3088,2777
3144,2696
1723,2105
384,173
1600,1599
1965,1903
2465,2711
592,32
474,862
214,860
888,265
3309,3308
2441,2699
668,698
7,1001
1138,1634
2068,1722
1808,1808
722,787
382,390
1173,2955
1314,1736
700,699
1325,1683
199,2855
7,390
1576,1782
2477,3032
1250,1125
2292,2969
251,302
2658,2657
2537,2537
481,439
287,337
935,995
508,12
1904,1372
591,326
2403,3172
65,992
2792,1227
3028,1667
2032,1903
394,940
697,285
722,333
779,31
1566,1386
2698,2591
1930,1293
515,350
3153,1667
1978,1979
1235,1749
791,542
676,388
56,172
649,387
445,390
3180,2501
2530,311
645,880
1897,2969
1253,1636
1490,1709
2090,2030
927,926
167,364
2102,2100
202,654
492,631
355,483
1958,1959
212,963
3097,3095
1583,1359
1794,795
721,506
1317,1108
1893,1043
1494,108
948,661
896,842
1359,1657
2005,2110
1339,1560
1636,57
1489,218
2303,2189
882,31
403,404
655,296
834,488
1605,1379
1891,1046
804,364
2112,1966
896,772
149,149
999,748
2051,1896
751,704
984,848
383,838
315,313
599,22
1402,2022
