"2019-08-22 08:57:11,457 - federation.py[line:124] - DEBUG: [REMOTE] Sent hetero_network_embedding_example_standalone_20190822085658-HeteroNETransferVariable.paillier_pubkey-HeteroNETransferVariable.paillier_pubkey.0-arbiter-10000-host-9999"
"2019-08-22 08:57:12,267 - federation.py[line:124] - DEBUG: [REMOTE] Sent hetero_network_embedding_example_standalone_20190822085658-HeteroNETransferVariable.paillier_pubkey-HeteroNETransferVariable.paillier_pubkey.0-arbiter-10000-guest-10000"
"2019-08-22 08:57:12,268 - federation.py[line:145] - DEBUG: [GET] arbiter 10000 getting remote object HeteroNETransferVariable.batch_info.0 from guest [10000]"
"2019-08-22 08:57:35,377 - federation.py[line:145] - DEBUG: [GET] guest 10000 getting remote object RawIntersectTransferVariable.send_ids_host.embedding0 from host [9999]"
"2019-08-22 08:57:36,121 - federation.py[line:124] - DEBUG: [REMOTE] Sent hetero_network_embedding_example_standalone_20190822085658-RawIntersectTransferVariable.send_ids_host-RawIntersectTransferVariable.send_ids_host.embedding0-host-9999-guest-10000"
"2019-08-22 08:57:36,121 - federation.py[line:145] - DEBUG: [GET] host 9999 getting remote object RawIntersectTransferVariable.intersect_ids_guest.embedding0 from guest [10000]"
"2019-08-22 08:57:36,138 - federation.py[line:46] - DEBUG: [GET] Got hetero_network_embedding_example_standalone_20190822085658-RawIntersectTransferVariable.send_ids_host-RawIntersectTransferVariable.send_ids_host.embedding0-host-9999-guest-10000 type Table"
"2019-08-22 08:57:37,954 - federation.py[line:124] - DEBUG: [REMOTE] Sent hetero_network_embedding_example_standalone_20190822085658-RawIntersectTransferVariable.intersect_ids_guest-RawIntersectTransferVariable.intersect_ids_guest.embedding0-guest-10000-host-9999"
"2019-08-22 08:57:37,970 - federation.py[line:46] - DEBUG: [GET] Got hetero_network_embedding_example_standalone_20190822085658-RawIntersectTransferVariable.intersect_ids_guest-RawIntersectTransferVariable.intersect_ids_guest.embedding0-guest-10000-host-9999 type Table"
"2019-08-22 08:57:47,358 - federation.py[line:145] - DEBUG: [GET] guest 10000 getting remote object HeteroNETransferVariable.paillier_pubkey.0 from arbiter [10000]"
"2019-08-22 08:57:47,358 - federation.py[line:46] - DEBUG: [GET] Got hetero_network_embedding_example_standalone_20190822085658-HeteroNETransferVariable.paillier_pubkey-HeteroNETransferVariable.paillier_pubkey.0-arbiter-10000-guest-10000 type Object"
"2019-08-22 08:57:47,368 - federation.py[line:145] - DEBUG: [GET] host 9999 getting remote object HeteroNETransferVariable.paillier_pubkey.0 from arbiter [10000]"
"2019-08-22 08:57:47,368 - federation.py[line:46] - DEBUG: [GET] Got hetero_network_embedding_example_standalone_20190822085658-HeteroNETransferVariable.paillier_pubkey-HeteroNETransferVariable.paillier_pubkey.0-arbiter-10000-host-9999 type Object"
"2019-08-22 08:57:47,403 - federation.py[line:145] - DEBUG: [GET] host 9999 getting remote object HeteroNETransferVariable.batch_info.0 from guest [10000]"
"2019-08-22 08:58:07,640 - federation.py[line:124] - DEBUG: [REMOTE] Sent hetero_network_embedding_example_standalone_20190822085658-HeteroNETransferVariable.batch_info-HeteroNETransferVariable.batch_info.0-guest-10000-host-9999"
"2019-08-22 08:58:07,685 - federation.py[line:46] - DEBUG: [GET] Got hetero_network_embedding_example_standalone_20190822085658-HeteroNETransferVariable.batch_info-HeteroNETransferVariable.batch_info.0-guest-10000-host-9999 type Object"
"2019-08-22 08:58:07,854 - federation.py[line:145] - DEBUG: [GET] host 9999 getting remote object HeteroNETransferVariable.batch_data_index.0.0.0 from guest [10000]"
"2019-08-22 08:58:08,040 - federation.py[line:124] - DEBUG: [REMOTE] Sent hetero_network_embedding_example_standalone_20190822085658-HeteroNETransferVariable.batch_info-HeteroNETransferVariable.batch_info.0-guest-10000-arbiter-10000"
"2019-08-22 08:58:08,091 - federation.py[line:124] - DEBUG: [REMOTE] Sent hetero_network_embedding_example_standalone_20190822085658-HeteroNETransferVariable.batch_data_index-HeteroNETransferVariable.batch_data_index.0.0.0-guest-10000-host-9999"
"2019-08-22 08:58:08,094 - federation.py[line:46] - DEBUG: [GET] Got hetero_network_embedding_example_standalone_20190822085658-HeteroNETransferVariable.batch_info-HeteroNETransferVariable.batch_info.0-guest-10000-arbiter-10000 type Object"
"2019-08-22 08:58:08,095 - federation.py[line:145] - DEBUG: [GET] arbiter 10000 getting remote object HeteroNETransferVariable.host_gradient.0.0.0 from guest [10000]"
