"2019-08-24 04:42:24,930 - hetero_ne_arbiter.py[line:54] - INFO: Enter hetero_ne_arbiter fit"
"2019-08-24 04:42:25,073 - hetero_ne_arbiter.py[line:61] - INFO: public_key: <PaillierPublicKey 531b5029df>"
"2019-08-24 04:42:25,577 - hetero_ne_arbiter.py[line:69] - INFO: remote publick_key to host"
"2019-08-24 04:42:25,652 - hetero_ne_arbiter.py[line:76] - INFO: remote public_key to guest"
"2019-08-24 04:42:32,281 - hetero_ne_arbiter.py[line:81] - INFO: Get batch_info from guest: {'batch_size': 256, 'batch_num': 18}"
"2019-08-24 04:42:32,281 - hetero_ne_arbiter.py[line:88] - INFO: iter: 0"
"2019-08-24 04:42:32,281 - hetero_ne_arbiter.py[line:93] - INFO: batch: 0"
"2019-08-24 04:42:41,821 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:42:42,425 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:42:42,662 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:42:42,662 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:42:42,696 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:42:42,728 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:42:43,332 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 0.25875208932853094"
"2019-08-24 04:42:43,332 - hetero_ne_arbiter.py[line:93] - INFO: batch: 1"
"2019-08-24 04:42:53,871 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:42:54,475 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:42:54,661 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:42:54,661 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:42:54,695 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:42:54,727 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:42:55,231 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 0.26593214997656406"
"2019-08-24 04:42:55,231 - hetero_ne_arbiter.py[line:93] - INFO: batch: 2"
"2019-08-24 04:43:05,389 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:43:06,093 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:43:06,273 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:43:06,273 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:43:06,305 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:43:06,340 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:43:06,642 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 0.5331107709933238"
"2019-08-24 04:43:06,642 - hetero_ne_arbiter.py[line:93] - INFO: batch: 3"
"2019-08-24 04:43:16,806 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:43:17,409 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:43:17,828 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:43:17,828 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:43:17,846 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:43:17,864 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:43:18,166 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.584498964030021"
"2019-08-24 04:43:18,166 - hetero_ne_arbiter.py[line:93] - INFO: batch: 4"
"2019-08-24 04:43:28,105 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:43:28,909 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:43:29,040 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:43:29,040 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:43:29,050 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:43:29,064 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:43:29,366 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.3411881651504047"
"2019-08-24 04:43:29,366 - hetero_ne_arbiter.py[line:93] - INFO: batch: 5"
"2019-08-24 04:43:39,609 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:43:40,413 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:43:40,587 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:43:40,587 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:43:40,603 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:43:40,620 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:43:40,922 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.6806969756654917"
"2019-08-24 04:43:40,922 - hetero_ne_arbiter.py[line:93] - INFO: batch: 6"
"2019-08-24 04:43:51,159 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:43:51,762 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:43:51,958 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:43:51,958 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:43:51,980 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:43:52,016 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:43:52,519 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.7012434112913413"
"2019-08-24 04:43:52,519 - hetero_ne_arbiter.py[line:93] - INFO: batch: 7"
"2019-08-24 04:44:04,361 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:44:05,767 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:44:06,236 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:44:06,237 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:44:06,289 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:44:06,303 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:44:06,705 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.518987377844034"
"2019-08-24 04:44:06,705 - hetero_ne_arbiter.py[line:93] - INFO: batch: 8"
"2019-08-24 04:44:19,874 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:44:21,180 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:44:21,702 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:44:21,702 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:44:21,755 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:44:21,839 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:44:22,342 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.639976078382139"
"2019-08-24 04:44:22,342 - hetero_ne_arbiter.py[line:93] - INFO: batch: 9"
"2019-08-24 04:44:42,417 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:44:43,923 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:44:44,321 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:44:44,321 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:44:44,399 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:44:44,439 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:44:45,042 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.541070952324055"
"2019-08-24 04:44:45,042 - hetero_ne_arbiter.py[line:93] - INFO: batch: 10"
"2019-08-24 04:45:02,726 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:45:05,237 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:45:05,433 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:45:05,433 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:45:05,455 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:45:05,469 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:45:05,771 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.6167918201386"
"2019-08-24 04:45:05,771 - hetero_ne_arbiter.py[line:93] - INFO: batch: 11"
"2019-08-24 04:45:16,307 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:45:17,212 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:45:17,578 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:45:17,578 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:45:17,589 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:45:17,597 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:45:17,900 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.743855706307725"
"2019-08-24 04:45:17,900 - hetero_ne_arbiter.py[line:93] - INFO: batch: 12"
"2019-08-24 04:45:27,961 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:45:28,866 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:45:29,054 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:45:29,055 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:45:29,077 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:45:29,100 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:45:29,610 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.678554875955935"
"2019-08-24 04:45:29,610 - hetero_ne_arbiter.py[line:93] - INFO: batch: 13"
"2019-08-24 04:45:40,366 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:45:41,071 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:45:41,231 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:45:41,232 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:45:41,253 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:45:41,267 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:45:41,570 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.6933433789537164"
"2019-08-24 04:45:41,570 - hetero_ne_arbiter.py[line:93] - INFO: batch: 14"
"2019-08-24 04:45:52,717 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:45:53,220 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:45:53,442 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:45:53,442 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:45:53,464 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:45:53,486 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:45:53,788 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.657430363882764"
"2019-08-24 04:45:53,788 - hetero_ne_arbiter.py[line:93] - INFO: batch: 15"
"2019-08-24 04:46:04,155 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:46:04,758 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:46:05,089 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:46:05,089 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:46:05,100 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:46:05,108 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:46:05,411 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.5774829797058674"
