"2019-08-24 16:27:08,973 - hetero_ne_arbiter.py[line:54] - INFO: Enter hetero_ne_arbiter fit"
"2019-08-24 16:27:09,018 - hetero_ne_arbiter.py[line:61] - INFO: public_key: <PaillierPublicKey 930c87b0b2>"
"2019-08-24 16:27:09,130 - hetero_ne_arbiter.py[line:69] - INFO: remote publick_key to host"
"2019-08-24 16:27:09,213 - hetero_ne_arbiter.py[line:76] - INFO: remote public_key to guest"
"2019-08-24 16:27:11,825 - hetero_ne_arbiter.py[line:81] - INFO: Get batch_info from guest: {'batch_size': 1024, 'batch_num': 1}"
"2019-08-24 16:27:11,825 - hetero_ne_arbiter.py[line:88] - INFO: iter: 0"
"2019-08-24 16:27:17,729 - hetero_ne_arbiter.py[line:129] - INFO: Iter 0, horizontally learning finish"
"2019-08-24 16:27:17,729 - hetero_ne_arbiter.py[line:137] - INFO: batch: 0"
"2019-08-24 16:27:20,241 - hetero_ne_arbiter.py[line:145] - INFO: Get host_gradient from GUEST"
"2019-08-24 16:27:20,945 - hetero_ne_arbiter.py[line:152] - INFO: Get guest_gradient from GUEST"
"2019-08-24 16:27:21,056 - hetero_ne_arbiter.py[line:170] - INFO: host gradients number: 42"
"2019-08-24 16:27:21,056 - hetero_ne_arbiter.py[line:171] - INFO: guest gradients number: 42"
"2019-08-24 16:27:21,077 - hetero_ne_arbiter.py[line:182] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 16:27:21,094 - hetero_ne_arbiter.py[line:193] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 16:27:21,598 - hetero_ne_arbiter.py[line:208] - INFO: Get loss from guest: 1.1567472999156903"
"2019-08-24 16:27:21,598 - hetero_ne_arbiter.py[line:215] - INFO: iter loss: 1.1567472999156903"
"2019-08-24 16:27:22,258 - hetero_ne_arbiter.py[line:268] - INFO: Remote is_stop to host: False"
"2019-08-24 16:27:22,382 - hetero_ne_arbiter.py[line:278] - INFO: Remote is_stop to guest: False"
"2019-08-24 16:27:22,382 - hetero_ne_arbiter.py[line:88] - INFO: iter: 1"
"2019-08-24 16:27:28,601 - hetero_ne_arbiter.py[line:129] - INFO: Iter 1, horizontally learning finish"
"2019-08-24 16:27:28,601 - hetero_ne_arbiter.py[line:137] - INFO: batch: 0"
"2019-08-24 16:27:31,112 - hetero_ne_arbiter.py[line:145] - INFO: Get host_gradient from GUEST"
"2019-08-24 16:27:31,916 - hetero_ne_arbiter.py[line:152] - INFO: Get guest_gradient from GUEST"
"2019-08-24 16:27:31,999 - hetero_ne_arbiter.py[line:170] - INFO: host gradients number: 42"
"2019-08-24 16:27:31,999 - hetero_ne_arbiter.py[line:171] - INFO: guest gradients number: 42"
"2019-08-24 16:27:32,016 - hetero_ne_arbiter.py[line:182] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 16:27:32,033 - hetero_ne_arbiter.py[line:193] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 16:27:32,358 - hetero_ne_arbiter.py[line:208] - INFO: Get loss from guest: 1.0988456076760031"
"2019-08-24 16:27:32,359 - hetero_ne_arbiter.py[line:215] - INFO: iter loss: 1.0988456076760031"
"2019-08-24 16:27:33,295 - hetero_ne_arbiter.py[line:268] - INFO: Remote is_stop to host: False"
"2019-08-24 16:27:33,345 - hetero_ne_arbiter.py[line:278] - INFO: Remote is_stop to guest: False"
